County,GEOGID,T1_1AGE0M,T1_1AGE1M,T1_1AGE2M,T1_1AGE3M,T1_1AGE4M,T1_1AGE5M,T1_1AGE6M,T1_1AGE7M,T1_1AGE8M,T1_1AGE9M,T1_1AGE10M,T1_1AGE11M,T1_1AGE12M,T1_1AGE13M,T1_1AGE14M,T1_1AGE15M,T1_1AGE16M,T1_1AGE17M,T1_1AGE18M,T1_1AGE19M,T1_1AGE20_24M,T1_1AGE25_29M,T1_1AGE30_34M,T1_1AGE35_39M,T1_1AGE40_44M,T1_1AGE45_49M,T1_1AGE50_54M,T1_1AGE55_59M,T1_1AGE60_64M,T1_1AGE65_69M,T1_1AGE70_74M,T1_1AGE75_79M,T1_1AGE80_84M,T1_1AGEGE_85M,T1_1AGETM,T1_1AGE0F,T1_1AGE1F,T1_1AGE2F,T1_1AGE3F,T1_1AGE4F,T1_1AGE5F,T1_1AGE6F,T1_1AGE7F,T1_1AGE8F,T1_1AGE9F,T1_1AGE10F,T1_1AGE11F,T1_1AGE12F,T1_1AGE13F,T1_1AGE14F,T1_1AGE15F,T1_1AGE16F,T1_1AGE17F,T1_1AGE18F,T1_1AGE19F,T1_1AGE20_24F,T1_1AGE25_29F,T1_1AGE30_34F,T1_1AGE35_39F,T1_1AGE40_44F,T1_1AGE45_49F,T1_1AGE50_54F,T1_1AGE55_59F,T1_1AGE60_64F,T1_1AGE65_69F,T1_1AGE70_74F,T1_1AGE75_79F,T1_1AGE80_84F,T1_1AGEGE_85F,T1_1AGETF,T1_1AGE0T,T1_1AGE1T,T1_1AGE2T,T1_1AGE3T,T1_1AGE4T,T1_1AGE5T,T1_1AGE6T,T1_1AGE7T,T1_1AGE8T,T1_1AGE9T,T1_1AGE10T,T1_1AGE11T,T1_1AGE12T,T1_1AGE13T,T1_1AGE14T,T1_1AGE15T,T1_1AGE16T,T1_1AGE17T,T1_1AGE18T,T1_1AGE19T,T1_1AGE20_24T,T1_1AGE25_29T,T1_1AGE30_34T,T1_1AGE35_39T,T1_1AGE40_44T,T1_1AGE45_49T,T1_1AGE50_54T,T1_1AGE55_59T,T1_1AGE60_64T,T1_1AGE65_69T,T1_1AGE70_74T,T1_1AGE75_79T,T1_1AGE80_84T,T1_1AGEGE_85T,T1_1AGETT,T1_2SGLM,T1_2MARM,T1_2SEPM,T1_2DIVM,T1_2WIDM,T1_2TM,T1_2SGLF,T1_2MARF,T1_2SEPF,T1_2DIVF,T1_2WIDF,T1_2TF,T1_2SGLT,T1_2MART,T1_2SEPT,T1_2DIVT,T1_2WIDT,T1_2T,T2_1IEBP,T2_1UKBP,T2_1PLBP,T2_1INBP,T2_1EUBP,T2_1RWBP,T2_1TBP,T2_1IEC,T2_1UKC,T2_1PLC,T2_1INC,T2_1EUC,T2_1RWC,T2_1NSC,T2_1TC,T2_2WI,T2_2WIT,T2_2OW,T2_2BBI,T2_2AAI,T2_2OTH,T2_2NS,T2_2T,T2_3SA,T2_3EC,T2_3EI,T2_3OI,T2_3T,T2_4CA,T2_4OR,T2_4NR,T2_4NS,T2_4T,T2_5PL,T2_5FR,T2_5ES,T2_5OTH,T2_5T,T2_6VW,T2_6W,T2_6NW,T2_6NAA,T2_6NS,T2_6T,T3_1YES,T3_1NO,T3_1NS,T3_1T,T3_2DIM,T3_2DIDOM,T3_2DIWOM,T3_2DILOOM,T3_2DINOM,T3_2DOESM,T3_2WOESM,T3_2LOOESM,T3_2NOESM,T3_2NSM,T3_2ALLM,T3_2DIF,T3_2DIDOF,T3_2DIWOF,T3_2DILOOF,T3_2DINOF,T3_2DOESF,T3_2WOESF,T3_2LOOESF,T3_2NOESF,T3_2NSF,T3_2ALLF,T3_2DIT,T3_2DIDOT,T3_2DIWOT,T3_2DILOOT,T3_2DINOT,T3_2DOEST,T3_2WOEST,T3_2LOOEST,T3_2NOEST,T3_2NST,T3_2ALLT,T4_1_2PF,T4_1_3PF,T4_1_4PF,T4_1_5PF,T4_1_GRE_6PF,T4_1_TF,T4_1_2PP,T4_1_3PP,T4_1_4PP,T4_1_5PP,T4_1_GRE_6PP,T4_1_TP,T4_1_2PC,T4_1_3PC,T4_1_4PC,T4_1_5PC,T4_1_GRE_6PC,T4_1_TC,T4_2_1CU15,T4_2_2CU15,T4_2_3CU15,T4_2_4CU15,T4_2_GE5CU15,T4_2_TCU15,T4_2_1CO15,T4_2_2CO15,T4_2_3CO15,T4_2_4CO15,T4_2_GE5CO15,T4_2_TCO15,T4_2_2CUO15,T4_2_3CUO15,T4_2_4CUO15,T4_2_GE5CUO15,T4_2_TCUO15,T4_2_NCT,T4_2_1CT,T4_2_2CT,T4_2_3CT,T4_2_4CT,T4_2_GE5CT,T4_2_TCT,T4_3FCCU15,T4_3FCCO15,T4_3FCCUO15,T4_3FCCT,T4_3FOPMCU15,T4_3FOPMCO15,T4_3FOPMCUO15,T4_3FOPMCT,T4_3FOPFCU15,T4_3FOPFCO15,T4_3FOPFCUO15,T4_3FOPFCT,T4_3CCCU15,T4_3CCCO15,T4_3CCCUO15,T4_3CCCT,T4_3COPMCU15,T4_3COPMCO15,T4_3COPMCUO15,T4_3COPMCT,T4_3COPFCU15,T4_3COPFCO15,T4_3COPFCUO15,T4_3COPFCT,T4_4AGE0_4F,T4_4AGE5_9F,T4_4AGE10_14F,T4_4AGE15_19F,T4_4AGE_GE20F,T4_4TF,T4_4AGE0_4P,T4_4AGE5_9P,T4_4AGE10_14P,T4_4AGE15_19P,T4_4AGE_GE20P,T4_4TP,T4_5PFF,T4_5ENF,T4_5RF,T4_5PSF,T4_5ESF,T4_5PAF,T4_5ADOF,T4_5ADUF,T4_5TF,T4_5PFP,T4_5ENP,T4_5RP,T4_5PSP,T4_5ESP,T4_5PAP,T4_5ADOP,T4_5ADUP,T4_5TP,T5_1OP_H,T5_1MC_H,T5_1CC_H,T5_1MCC_H,T5_1CCC_H,T5_1OPFC_H,T5_1OPMC_H,T5_1CO_H,T5_1CCO_H,T5_1OPFCO_H,T5_1OPMCO_H,T5_1GETFU_H,T5_1NHR_H,T5_1GENP_H,T5_1T_H,T5_1OP_P,T5_1MC_P,T5_1CC_P,T5_1MCC_P,T5_1CCC_P,T5_1OPFC_P,T5_1OPMC_P,T5_1CO_P,T5_1CCO_P,T5_1OPFCO_P,T5_1OPMCO_P,T5_1GETFU_P,T5_1NHR_P,T5_1GENP_P,T5_1T_P,T5_2_1PH,T5_2_2PH,T5_2_3PH,T5_2_4PH,T5_2_5PH,T5_2_6PH,T5_2_7PH,T5_2_GE8PH,T5_2_TH,T5_2_1PP,T5_2_2PP,T5_2_3PP,T5_2_4PP,T5_2_5PP,T5_2_6PP,T5_2_7PP,T5_2_GE8PP,T5_2_TP,T6_1_HB_H,T6_1_FA_H,T6_1_BS_H,T6_1_CM_H,T6_1_TH,T6_1_HB_P,T6_1_FA_P,T6_1_BS_P,T6_1_CM_P,T6_1_TP,T6_2_PRE19H,T6_2_19_45H,T6_2_46_60H,T6_2_61_70H,T6_2_71_80H,T6_2_81_90H,T6_2_91_00H,T6_2_01_10H,T6_2_11_15H,T6_2_16LH,T6_2_NSH,T6_2_TH,T6_2_PRE19P,T6_2_19_45P,T6_2_46_60P,T6_2_61_70P,T6_2_71_80P,T6_2_81_90P,T6_2_91_00P,T6_2_01_10P,T6_2_11_15P,T6_2_16LP,T6_2_NSP,T6_2_TP,T6_3_OMLH,T6_3_OOH,T6_3_RPLH,T6_3_RLAH,T6_3_RVCHBH,T6_3_OFRH,T6_3_NSH,T6_3_TH,T6_3_OMLP,T6_3_OOP,T6_3_RPLP,T6_3_RLAP,T6_3_RVCHBP,T6_3_OFRP,T6_3_NSP,T6_3_TP,T6_4_1RH,T6_4_2RH,T6_4_3RH,T6_4_4RH,T6_4_5RH,T6_4_6RH,T6_4_7RH,T6_4_GE8RH,T6_4_NSH,T6_4_TH,T6_4_1RP,T6_4_2RP,T6_4_3RP,T6_4_4RP,T6_4_5RP,T6_4_6RP,T6_4_7RP,T6_4_GE8RP,T6_4_NSP,T6_4_TP,T6_5_NCH,T6_5_OCH,T6_5_NGCH,T6_5_ECH,T6_5_CCH,T6_5_PCH,T6_5_LPGCH,T6_5_WCH,T6_5_OTH,T6_5_NS,T6_5_T,T6_6_PM,T6_6_GSLA,T6_6_GSP,T6_6_OP,T6_6_N,T6_6_NS,T6_6_T,T6_7_PS,T6_7_IST,T6_7_OIT,T6_7_OTH,T6_7_NSF,T6_7_NS,T6_7_T,T6_8_O,T6_8_TA,T6_8_UHH,T6_8_OVD,T6_8_T,T6_9_0BRH,T6_9_1BRH,T6_9_2BRH,T6_9_3BRH,T6_9_4BRH,T6_9_GE5BRH,T6_9_TH,T6_9_0BRP,T6_9_1BRP,T6_9_2BRP,T6_9_3BRP,T6_9_4BRP,T6_9_GE5BRP,T6_9_TP,T6_9_NSP,T6_9_NSH,T6_10_RE,T6_10_NORE,T6_10_NS,T6_10_T,T6_11_GE1SA,T6_11_NOSA,T6_11_NS,T6_11_T,T7_1_VOL,T8_1_WM,T8_1_LFFJM,T8_1_STUM,T8_1_LTUM,T8_1_SM,T8_1_LAHFM,T8_1_RM,T8_1_UTWSDM,T8_1_OTHM,T8_1_TM,T8_1_WF,T8_1_LFFJF,T8_1_STUF,T8_1_LTUF,T8_1_SF,T8_1_LAHFF,T8_1_RF,T8_1_UTWSDF,T8_1_OTHF,T8_1_TF,T8_1_WT,T8_1_LFFJT,T8_1_STUT,T8_1_LTUT,T8_1_ST,T8_1_LAHFT,T8_1_RT,T8_1_UTWSDT,T8_1_OTHT,T8_1_TT,T9_1_PWM,T9_1_MTM,T9_1_NMM,T9_1_SM,T9_1_SSM,T9_1_USM,T9_1_OTHGEUM,T9_1_TM,T9_1_PWF,T9_1_MTF,T9_1_NMF,T9_1_SF,T9_1_SSF,T9_1_USF,T9_1_OTHGEUF,T9_1_TF,T9_1_PWT,T9_1_MTT,T9_1_NMT,T9_1_ST,T9_1_SST,T9_1_UST,T9_1_OTHGEUT,T9_1_TT,T9_2_HA,T9_2_HB,T9_2_HC,T9_2_HD,T9_2_HE,T9_2_HF,T9_2_HG,T9_2_HH,T9_2_HI,T9_2_HJ,T9_2_HZ,T9_2_HT,T9_2_PA,T9_2_PB,T9_2_PC,T9_2_PD,T9_2_PE,T9_2_PF,T9_2_PG,T9_2_PH,T9_2_PI,T9_2_PJ,T9_2_PZ,T9_2_PT,T10_1_LT15M,T10_1_15M,T10_1_16M,T10_1_17M,T10_1_18M,T10_1_19M,T10_1_20M,T10_1_GE21M,T10_1_NSM,T10_1_TM,T10_1_LT15F,T10_1_15F,T10_1_16F,T10_1_17F,T10_1_18F,T10_1_19F,T10_1_20F,T10_1_GE21F,T10_1_NSF,T10_1_TF,T10_1_LT15T,T10_1_15T,T10_1_16T,T10_1_17T,T10_1_18T,T10_1_19T,T10_1_20T,T10_1_GE21T,T10_1_NST,T10_1_TT,T10_2_SASM,T10_2_OTHM,T10_2_SASF,T10_2_OTHF,T10_2_SAST,T10_2_OTHT,T10_4_NFM,T10_4_PM,T10_4_LSM,T10_4_USM,T10_4_TVM,T10_4_ACCAM,T10_4_HCM,T10_4_ODNDM,T10_4_HDPQM,T10_4_PDM,T10_4_DM,T10_4_NSM,T10_4_TM,T10_4_NFF,T10_4_PF,T10_4_LSF,T10_4_USF,T10_4_TVF,T10_4_ACCAF,T10_4_HCF,T10_4_ODNDF,T10_4_HDPQF,T10_4_PDF,T10_4_DF,T10_4_NSF,T10_4_TF,T10_4_NFT,T10_4_PT,T10_4_LST,T10_4_UST,T10_4_TVT,T10_4_ACCAT,T10_4_HCT,T10_4_ODNDT,T10_4_HDPQT,T10_4_PDT,T10_4_DT,T10_4_NST,T10_4_TT,T11_1_FW,T11_1_BIW,T11_1_BUW,T11_1_TDLW,T11_1_MW,T11_1_CDW,T11_1_CPW,T11_1_VW,T11_1_OTHW,T11_1_WMFHW,T11_1_NSW,T11_1_TW,T11_1_FSCCC,T11_1_BISCCC,T11_1_BUSCCC,T11_1_TDLSCCC,T11_1_MSCCC,T11_1_CDSCCC,T11_1_CPSCCC,T11_1_VSCCC,T11_1_OTHSCCC,T11_1_WMFHSCCC,T11_1_NSSCCC,T11_1_TSCCC,T11_1_FT,T11_1_BIT,T11_1_BUT,T11_1_TDLT,T11_1_MT,T11_1_CDT,T11_1_CPT,T11_1_VT,T11_1_OTHT,T11_1_WMFHT,T11_1_NST,T11_1_TT,T11_2_T1,T11_2_T2,T11_2_T3,T11_2_T4,T11_2_T5,T11_2_T6,T11_2_T7,T11_2_T8,T11_2_NS,T11_2_T,T11_3_D1,T11_3_D2,T11_3_D3,T11_3_D4,T11_3_D5,T11_3_D6,T11_3_NS,T11_3_T,T11_4_WFH,T11_4_NWFH,T11_4_NS,T11_4_T,T11_5_CC_AGE0_4,T11_5_CC_AGE5_14,T11_5_CC_T,T12_1_M,T12_1_F,T12_1_T,T12_2_M,T12_2_F,T12_2_T,T12_3_VGM,T12_3_VGF,T12_3_VGT,T12_3_GM,T12_3_GF,T12_3_GT,T12_3_FM,T12_3_FF,T12_3_FT,T12_3_BM,T12_3_BF,T12_3_BT,T12_3_VBM,T12_3_VBF,T12_3_VBT,T12_3_NSM,T12_3_NSF,T12_3_NST,T12_3_TM,T12_3_TF,T12_3_TT,T12_4_YES,T12_4_NO,T12_4_NS,T12_4_T,T13_1_MDSOM,T13_1_POM,T13_1_APTOM,T13_1_ASOM,T13_1_STOM,T13_1_CLOSOM,T13_1_SCSOM,T13_1_PPMOM,T13_1_EOM,T13_1_NSM,T13_1_TM,T13_1_MDSOF,T13_1_POF,T13_1_APTOF,T13_1_ASOF,T13_1_STOF,T13_1_CLOSOF,T13_1_SCSOF,T13_1_PPMOF,T13_1_EOF,T13_1_NSF,T13_1_TF,T13_1_MDSOT,T13_1_POT,T13_1_APTOT,T13_1_ASOT,T13_1_STOT,T13_1_CLOSOT,T13_1_SCSOT,T13_1_PPMOT,T13_1_EOT,T13_1_NST,T13_1_TT,T14_1_AFFM,T14_1_BCM,T14_1_MIM,T14_1_CTM,T14_1_TCM,T14_1_PAM,T14_1_PSM,T14_1_OTHM,T14_1_TM,T14_1_AFFF,T14_1_BCF,T14_1_MIF,T14_1_CTF,T14_1_TCF,T14_1_PAF,T14_1_PSF,T14_1_OTHF,T14_1_TF,T14_1_AFFT,T14_1_BCT,T14_1_MIT,T14_1_CTT,T14_1_TCT,T14_1_PAT,T14_1_PST,T14_1_OTHT,T14_1_TT,T15_1_NC,T15_1_1C,T15_1_2C,T15_1_3C,T15_1_GE4C,T15_1_NSC,T15_1_TC,T15_2_BB,T15_2_OIC,T15_2_NO,T15_2_NS,T15_2_T
Carlow,CW,346,347,355,376,376,384,383,434,415,447,475,514,441,484,486,432,431,463,437,446,2000,1666,1804,2153,2444,2227,2065,1883,1636,1443,1242,916,530,341,30822,353,302,334,378,369,365,367,455,404,435,446,450,467,459,465,411,442,414,466,381,1781,1626,1910,2377,2463,2325,2060,1923,1686,1468,1239,923,655,547,31146,699,649,689,754,745,749,750,889,819,882,921,964,908,943,951,843,873,877,903,827,3781,3292,3714,4530,4907,4552,4125,3806,3322,2911,2481,1839,1185,888,61968,17173,11488,722,752,687,30822,15769,11492,841,1114,1930,31146,32942,22980,1563,1866,2617,61968,51092,2667,2102,361,2431,2770,61423,52476,848,1875,291,2294,1450,2189,61423,48208,573,6059,719,1327,996,3541,61423,57002,1853,1242,633,60730,45159,6222,6754,3833,61968,2464,433,264,5125,8286,4201,2360,1051,222,452,8286,21426,34572,3933,59931,2994,45,24,15,10,133,467,2891,2499,292,9370,3748,105,46,17,6,181,642,3912,3099,300,12056,6742,150,70,32,16,314,1109,6803,5598,592,21426,6307,3642,3534,1764,606,15853,12614,10926,14136,8820,3796,50292,1658,4497,7382,5376,2606,21519,1716,1963,813,181,24,4697,2729,1397,434,72,12,4644,715,747,294,107,1863,4649,4445,4075,1994,547,143,15853,3707,3062,1502,8271,898,1248,329,2475,92,334,32,458,7380,4966,4409,16755,1395,1782,914,4091,151,427,95,673,2626,1979,1955,1574,3070,11204,10324,8050,7739,5676,9205,40994,1176,1607,1866,1245,1511,1941,2162,4345,15853,2352,3214,3732,3922,5709,7699,8622,15042,50292,5068,3262,890,6459,1115,374,2038,302,575,71,284,340,419,1041,22238,5068,6524,1780,26295,4339,917,5475,1012,2929,272,1082,1850,1017,2986,61546,5068,6239,4110,3792,2061,708,170,90,22238,5068,12478,12330,15168,10305,4248,1190,759,61546,20624,1542,8,64,22238,58441,2959,12,134,61546,2070,1302,1397,1198,2330,2049,3521,6056,651,995,605,22174,4991,2936,3219,2776,5728,5332,10252,19311,2015,3228,1624,61412,5987,8375,3584,2170,606,383,1069,22174,20380,19906,9687,6117,1659,816,2847,61412,62,512,1376,2332,6042,4466,3039,3546,799,22174,84,760,2853,5111,16133,12941,9405,12000,2125,61412,253,11650,5007,1980,1183,121,123,512,238,1107,22174,15362,507,499,5362,36,408,22174,13823,6823,883,144,46,455,22174,22282,267,284,1724,24557,0,781,2847,8760,5629,1755,22174,0,1130,5505,23846,18335,6405,61412,6191,2402,5931,13671,2572,22174,18729,846,2599,22174,8389,14778,245,421,889,2784,308,3676,1390,68,24559,12014,184,389,671,2815,3504,3873,1510,137,25097,26792,429,810,1560,5599,3812,7549,2900,205,49656,2336,7331,3951,6554,3884,1361,5405,30822,1990,8940,6072,3141,4067,1036,5900,31146,4326,16271,10023,9695,7951,2397,11305,61968,2424,234,1011,6637,2468,1961,854,809,954,372,4514,22238,7454,709,2928,18609,7477,5595,2390,2314,2828,1081,10161,61546,1176,989,1808,1485,2568,872,761,4677,5721,20057,756,642,1252,1485,2687,1075,946,5904,5809,20556,1932,1631,3060,2970,5255,1947,1707,10581,11530,40613,2784,1718,2815,1726,5599,3444,460,2006,3761,3564,1572,1903,1007,1253,1879,1211,147,1294,20057,380,1541,2825,3775,2174,817,1501,1496,2657,1966,125,1299,20556,840,3547,6586,7339,3746,2720,2508,2749,4536,3177,272,2593,40613,1843,336,257,241,55,15206,1382,2207,224,2948,1907,26606,3144,240,2056,143,14,751,8404,27,19,63,1262,16123,4987,576,2313,384,69,15957,9786,2234,243,3011,3169,42729,3028,3665,3119,5925,8166,6815,1232,1951,3918,37819,13484,9664,4872,1713,2580,1363,4143,37819,6300,16922,3384,26606,1695,2205,3900,6896,7437,14333,1332,2211,3543,15912,15890,31802,9300,9519,18819,2925,3182,6107,504,533,1037,106,119,225,2075,1903,3978,30822,31146,61968,8878,48591,4499,61968,1277,1862,1610,456,4456,354,620,2040,1638,1775,16088,746,2642,1274,1975,426,1901,1276,350,1079,1405,13074,2023,4504,2884,2431,4882,2255,1896,2390,2717,3180,29162,1353,1753,3019,3067,1306,751,1528,2001,14778,335,127,925,2926,371,753,4469,2108,12014,1688,1880,3944,5993,1677,1504,5997,4109,26792,2510,8235,7408,1651,683,1687,22174,16283,1615,2357,1919,22174
Cavan,CN,505,527,541,560,555,599,585,607,602,687,651,704,645,709,641,628,611,596,574,479,2203,1999,2273,2870,3105,2830,2789,2590,2265,1998,1681,1178,712,561,41060,501,477,520,525,492,544,591,555,615,602,661,624,672,634,621,643,550,590,533,436,2029,1912,2414,3106,3229,2859,2695,2451,2192,1961,1591,1221,744,854,40644,1006,1004,1061,1085,1047,1143,1176,1162,1217,1289,1312,1328,1317,1343,1262,1271,1161,1186,1107,915,4232,3911,4687,5976,6334,5689,5484,5041,4457,3959,3272,2399,1456,1415,81704,22557,15889,837,907,870,41060,20007,15829,1037,1170,2601,40644,42564,31718,1874,2077,3471,81704,65407,5461,1892,519,3973,3719,80971,68987,1561,1714,394,3696,2084,2535,80971,63731,469,8688,1048,1791,1143,4101,80971,75654,1973,1334,1007,79968,60785,9517,6898,4504,81704,2323,561,280,8043,11207,5376,3220,1767,328,516,11207,26591,47558,4484,78633,4073,50,36,22,24,160,558,3302,3172,341,11738,5163,81,63,32,15,188,758,4475,3734,344,14853,9236,131,99,54,39,348,1316,7777,6906,685,26591,7831,4438,4495,2674,1221,20659,15662,13314,17980,13370,7738,68064,1731,5326,9338,8138,5330,29863,2089,2505,1260,358,63,6275,3192,1690,648,166,38,5734,840,998,500,212,2550,6100,5281,5035,2906,1024,313,20659,5293,3995,2154,11442,869,1389,361,2619,113,350,35,498,11043,6890,6730,24663,1431,1994,1026,4451,163,493,93,749,3662,2626,2537,1977,3757,14559,15133,11183,10442,7631,11475,55864,1458,2137,2505,1668,2106,2501,2703,5581,20659,2916,4274,5010,5492,8431,10282,11352,20307,68064,6995,4563,1021,9336,1370,411,2214,290,627,54,275,360,550,779,28845,6995,9126,2042,39299,5396,1032,6049,960,3335,203,1049,1988,1257,2018,80749,6995,7885,4708,4676,2988,1155,294,144,28845,6995,15770,14124,18704,14940,6930,2058,1228,80749,27406,1365,5,69,28845,78159,2455,10,125,80749,2596,1556,1702,1371,2482,2624,3861,10040,969,880,695,28776,5733,3371,3791,3003,5747,6809,11887,32390,3156,2888,1849,80624,8184,11735,4614,2124,244,618,1257,28776,29176,27991,12834,5557,541,1260,3265,80624,70,678,1730,2536,6098,5902,4978,6055,729,28776,104,994,3267,5424,15838,16467,15359,21374,1797,80624,242,19868,2213,1895,1383,657,298,736,227,1257,28776,13516,4533,4087,6151,56,433,28776,12571,13301,2191,180,89,444,28776,28890,440,1074,4023,34427,0,976,3307,8856,9539,3206,28776,0,1456,6128,22926,30742,12103,80624,7269,2892,7384,18426,2966,28776,24554,1316,2906,28776,12934,19617,347,593,1000,3112,530,4973,1516,254,31942,15733,278,527,859,3413,4302,5174,1467,257,32010,35350,625,1120,1859,6525,4832,10147,2983,511,63952,2867,9977,5320,9645,5534,1758,5959,41060,2412,12127,8052,4506,5698,1247,6602,40644,5279,22104,13372,14151,11232,3005,12561,81704,2951,320,1115,8203,3368,2757,1131,1375,1927,688,5010,28845,9345,963,3477,23318,10350,8145,3036,4139,5298,1909,10769,80749,1949,1315,2618,2007,3300,1113,1203,5578,7396,26479,1110,767,1743,1823,3549,1364,1420,7361,7144,26281,3059,2082,4361,3830,6849,2477,2623,12939,14540,52760,3112,2351,3413,2316,6525,4667,1182,2909,4825,4788,2299,2647,1288,1590,2063,1263,111,1514,26479,805,1959,3338,5026,2833,1236,2095,2120,3208,2198,97,1366,26281,1987,4868,8163,9814,5132,3883,3383,3710,5271,3461,208,2880,52760,2097,170,564,43,39,21171,1652,3915,402,2863,2130,35046,2757,96,4842,56,1,874,11335,98,25,84,1537,21705,4854,266,5406,99,40,22045,12987,4013,427,2947,3667,56751,5182,4442,4334,8331,10106,9320,2121,2333,4844,51013,18038,12886,7014,2131,3199,2630,5115,51013,7791,23354,3901,35046,2637,3435,6072,8007,8268,16275,1869,2764,4633,22383,21920,44303,12051,12238,24289,3637,3626,7263,541,579,1120,127,128,255,2321,2153,4474,41060,40644,81704,11208,65256,5240,81704,1471,2270,1707,552,6729,430,675,3279,2145,1952,21210,951,3642,1418,2863,562,2570,1373,791,1400,1549,17119,2422,5912,3125,3415,7291,3000,2048,4070,3545,3501,38329,2485,2647,4124,3929,1381,828,1935,2288,19617,369,250,1684,3300,472,1045,6110,2503,15733,2854,2897,5808,7229,1853,1873,8045,4791,35350,2887,10589,10381,2256,959,1704,28776,22153,1162,3424,2037,28776
Clare,CE,686,656,729,723,739,821,867,858,869,933,914,908,984,960,954,981,903,954,860,829,3539,2991,3204,3974,4578,4619,4504,4157,3787,3320,2887,2157,1214,858,62917,691,704,744,745,766,799,789,805,801,873,960,913,999,914,894,907,947,890,830,821,3419,3001,3459,4438,5092,4847,4710,4297,3745,3307,2964,2257,1359,1334,65021,1377,1360,1473,1468,1505,1620,1656,1663,1670,1806,1874,1821,1983,1874,1848,1888,1850,1844,1690,1650,6958,5992,6663,8412,9670,9466,9214,8454,7532,6627,5851,4414,2573,2192,127938,33789,24778,1360,1500,1490,62917,31949,25038,1687,2073,4274,65021,65738,49816,3047,3573,5764,127938,104069,7909,2737,755,3332,7180,125982,109641,2462,2466,581,2972,3966,3894,125982,101433,989,10430,1313,2442,2031,7344,125982,117083,3783,2083,1672,124621,94832,8492,16238,8376,127938,3348,1322,631,8598,13899,7839,3620,1588,272,580,13899,54437,61091,8200,123728,6861,130,69,43,33,457,1344,8602,6675,621,24835,8496,249,76,51,26,579,1653,10528,7255,689,29602,15357,379,145,94,59,1036,2997,19130,13930,1310,54437,13188,6951,6953,3733,1370,32195,26376,20853,27812,18665,8676,102382,2998,8376,14378,11349,5983,43084,3014,3816,1705,385,110,9030,5510,2825,912,164,33,9444,1265,1438,621,207,3531,10190,8524,7906,4055,1170,350,32195,7532,6442,2939,16913,1333,2352,533,4218,165,650,59,874,15508,10646,8812,34966,2130,3222,1506,6858,254,856,150,1260,4982,3774,3805,3296,6148,22005,20230,15704,15458,12306,18304,82002,2287,3530,4373,2362,2993,3675,4253,8722,32195,4574,7060,8746,7748,11699,15007,17312,30236,102382,11920,7710,1816,14142,1986,714,3636,469,718,131,408,420,843,1640,46553,11920,15420,3632,58122,7742,1741,9641,1529,3679,486,1539,2263,1994,4421,124129,11920,13467,7861,7359,4140,1331,326,149,46553,11920,26934,23583,29436,20700,7986,2282,1288,124129,43666,2769,6,112,46553,118494,5376,9,250,124129,3938,2371,2449,3293,6018,5150,7451,11820,1264,1624,1063,46441,8541,4875,5380,7397,14115,13010,21941,36634,3973,5216,2797,123879,13187,20188,6457,2929,574,940,2166,46441,44130,46248,16815,7928,1426,1885,5447,123879,113,961,2903,4487,10099,9732,7930,8945,1271,46441,168,1430,5420,9123,24958,26074,23774,29719,3213,123879,581,27041,5651,3948,2502,2228,477,1409,494,2110,46441,31425,4683,4252,5191,75,815,46441,24297,18193,2665,337,119,830,46441,46784,881,4921,5079,57665,0,1399,5865,15680,14158,4765,46441,0,2049,10746,39398,43573,16804,123879,11309,4574,14241,27417,4783,46441,39494,2216,4731,46441,20825,29731,463,905,1409,5688,816,8883,2115,306,50316,26413,350,764,1076,6038,5749,9434,2347,453,52624,56144,813,1669,2485,11726,6565,18317,4462,759,102940,6052,17964,8040,11707,7205,2323,9626,62917,5056,21455,12457,5372,7313,1712,11656,65021,11108,39419,20497,17079,14518,4035,21282,127938,5217,612,2577,15429,4020,3858,1591,2136,2438,692,7983,46553,15537,1763,7718,41562,11305,10581,4225,5993,6416,1772,17257,124129,1888,1436,3339,3107,5733,1638,1694,11482,11341,41658,1278,941,2207,3094,6116,2087,2055,13722,12133,43633,3166,2377,5546,6201,11849,3725,3749,25204,23474,85291,5688,2970,6038,2953,11726,5923,1000,3382,6258,8253,2981,3798,2027,3273,4561,3187,378,2560,41658,735,2560,4927,8657,3724,1770,3001,3882,6014,5056,385,2922,43633,1735,5942,11185,16910,6705,5568,5028,7155,10575,8243,763,5482,85291,3060,538,723,125,119,34132,2327,4205,369,5859,3862,55319,5187,409,4272,166,5,1937,18382,98,32,178,2523,33189,8247,947,4995,291,124,36069,20709,4303,401,6037,6385,88508,3944,7135,7387,13424,17474,14210,2267,4412,8086,78339,26386,21320,13181,4153,3564,1446,8289,78339,16185,32919,6215,55319,3780,4635,8415,13127,14086,27213,3346,4899,8245,32679,33333,66012,19613,20031,39644,5540,6023,11563,858,980,1838,211,213,424,4016,4441,8457,62917,65021,127938,16104,102453,9381,127938,2517,4791,3681,1101,8655,752,1118,3585,2818,3027,32045,1898,6625,2908,4468,854,3879,2141,968,1776,2736,28253,4415,11416,6589,5569,9509,4631,3259,4553,4594,5763,60298,2654,2963,6534,5010,3076,1574,3514,4406,29731,238,225,2854,5275,1344,1823,9942,4712,26413,2892,3188,9388,10285,4420,3397,13456,9118,56144,4190,17483,16978,3554,1310,2926,46441,35704,2259,5070,3408,46441
